"","Data","Tipo.de.Pendência"
"359",May 2017,"Bug"
"360",May 2017,"Bug"
"361",May 2017,"Bug"
"362",May 2017,"Bug"
"363",May 2017,"Bug"
"367",May 2017,"Bug"
"368",May 2017,"Bug"
"369",May 2017,"Bug"
"392",May 2017,"Bug"
"396",May 2017,"Bug"
"397",May 2017,"Bug"
"398",May 2017,"Story"
"399",May 2017,"Story"
"400",May 2017,"Story"
"353",May 2017,"Task"
"354",May 2017,"Task"
"355",May 2017,"Task"
"356",May 2017,"Task"
"357",May 2017,"Task"
"358",May 2017,"Task"
"364",May 2017,"Task"
"365",May 2017,"Task"
"366",May 2017,"Task"
"370",May 2017,"Task"
"371",May 2017,"Task"
"372",May 2017,"Task"
"373",May 2017,"Task"
"374",May 2017,"Task"
"375",May 2017,"Task"
"376",May 2017,"Task"
"379",May 2017,"Task"
"380",May 2017,"Task"
"381",May 2017,"Task"
"382",May 2017,"Task"
"383",May 2017,"Task"
"384",May 2017,"Task"
"385",May 2017,"Task"
"386",May 2017,"Task"
"387",May 2017,"Task"
"388",May 2017,"Task"
"390",May 2017,"Task"
"394",May 2017,"Task"
"344",May 2017,"Task"
"325",May 2017,"Bug"
"327",May 2017,"Bug"
"339",May 2017,"Task"
"341",May 2017,"Task"
"342",May 2017,"Task"
"309",May 2017,"Bug"
"310",May 2017,"Bug"
"326",May 2017,"Bug"
"333",May 2017,"Bug"
"334",May 2017,"Bug"
"335",May 2017,"Bug"
"336",May 2017,"Bug"
"377",May 2017,"Bug"
"378",May 2017,"Bug"
"402",May 2017,"Bug"
"403",May 2017,"Story"
"406",May 2017,"Story"
"407",May 2017,"Story"
"408",May 2017,"Story"
"317",May 2017,"Task"
"346",May 2017,"Task"
"348",May 2017,"Task"
"350",May 2017,"Task"
"306",May 2017,"Bug"
"321",May 2017,"Bug"
"323",May 2017,"Bug"
"404",May 2017,"Story"
"389",May 2017,"Bug"
"301",Jun 2017,"Bug"
"302",Jun 2017,"Bug"
"296",Jun 2017,"Bug"
"318",Jun 2017,"Bug"
"270",Jun 2017,"Task"
"300",Jun 2017,"Bug"
"303",Jun 2017,"Bug"
"322",Jun 2017,"Bug"
"304",Jun 2017,"Bug"
"268",Jun 2017,"Task"
"447",Jun 2017,"Story"
"254",Jun 2017,"Task"
"316",Jun 2017,"Task"
"349",Jun 2017,"Task"
"250",Jun 2017,"Bug"
"251",Jun 2017,"Bug"
"421",Jun 2017,"Story"
"422",Jun 2017,"Story"
"247",Jun 2017,"Bug"
"226",Jun 2017,"Bug"
"227",Jun 2017,"Bug"
"243",Jun 2017,"Bug"
"245",Jun 2017,"Bug"
"253",Jun 2017,"Bug"
"257",Jun 2017,"Bug"
"266",Jun 2017,"Bug"
"352",Jun 2017,"Bug"
"449",Jun 2017,"Story"
"217",Jun 2017,"Task"
"218",Jun 2017,"Task"
"219",Jun 2017,"Task"
"220",Jun 2017,"Task"
"221",Jun 2017,"Task"
"222",Jun 2017,"Task"
"225",Jun 2017,"Task"
"229",Jun 2017,"Task"
"241",Jun 2017,"Task"
"267",Jun 2017,"Task"
"311",Jun 2017,"Task"
"312",Jun 2017,"Task"
"314",Jun 2017,"Task"
"320",Jun 2017,"Task"
"345",Jun 2017,"Task"
"215",Jun 2017,"Bug"
"216",Jun 2017,"Bug"
"261",Jun 2017,"Bug"
"262",Jun 2017,"Bug"
"263",Jun 2017,"Bug"
"264",Jun 2017,"Bug"
"265",Jun 2017,"Bug"
"308",Jun 2017,"Bug"
