"","Tipo.de.Pendência","Issue","Situação","Data.de.Resolução"
"9","Task","ACT-5444","Done","2017-07-27 00:00:00"
"13","Bug","ACT-5435","Done","2017-07-26 00:00:00"
"23","Story","ACT-5332","Done","2017-07-26 00:00:00"
"24","Bug","ACT-5320","Done","2017-07-21 00:00:00"
"25","Bug","ACT-5314","Done","2017-07-25 00:00:00"
"29","Task","ACT-5209","Done","2017-07-18 00:00:00"
"30","Task","ACT-5207","Done","2017-07-20 00:00:00"
"32","Bug","ACT-5143","Done","2017-07-18 00:00:00"
"33","Story","ACT-5117","Done","2017-07-21 00:00:00"
"37","Story","ACT-5064","Done","2017-07-17 00:00:00"
"43","Story","ACT-4971","Done","2017-07-17 00:00:00"
"44","Bug","ACT-4951","Done","2017-07-13 00:00:00"
"62","Story","ACT-4800","Done","2017-07-17 00:00:00"
"70","Bug","ACT-4667","Done","2017-07-11 00:00:00"
"78","Story","ACT-4596","Done","2017-07-13 00:00:00"
"79","Task","ACT-4595","Done","2017-07-20 00:00:00"
"102","Task","ACT-4517","Done","2017-07-26 00:00:00"
"104","Story","ACT-4515","Done","2017-07-18 00:00:00"
"113","Story","ACT-4490","Done","2017-07-25 00:00:00"
"115","Story","ACT-4474","Done","2017-07-11 00:00:00"
"141","Task","ACT-4402","Done","2017-07-19 00:00:00"
"143","Task","ACT-4367","Done","2017-07-11 00:00:00"
"144","Story","ACT-4364","Done","2017-07-19 00:00:00"
"146","Story","ACT-4351","Done","2017-07-14 00:00:00"
"165","Task","ACT-4296","Done","2017-07-07 00:00:00"
"166","Task","ACT-4295","Done","2017-07-10 00:00:00"
"168","Story","ACT-4273","Done","2017-07-27 00:00:00"
"176","Task","ACT-4208","Done","2017-07-25 00:00:00"
"177","Story","ACT-4207","Done","2017-07-12 00:00:00"
"180","Task","ACT-4204","Done","2017-07-18 00:00:00"
"181","Task","ACT-4203","Done","2017-07-18 00:00:00"
"182","Task","ACT-4202","Done","2017-07-18 00:00:00"
"183","Story","ACT-4186","Done","2017-07-27 00:00:00"
"185","Task","ACT-4079","Done","2017-07-05 00:00:00"
"189","Task","ACT-4061","Done","2017-07-20 00:00:00"
"191","Story","ACT-3962","Done","2017-07-14 00:00:00"
"197","Story","ACT-3894","Done","2017-07-24 00:00:00"
"198","Task","ACT-3879","Done","2017-07-11 00:00:00"
"201","Story","ACT-3848","Done","2017-07-05 00:00:00"
"205","Story","ACT-3843","Done","2017-07-03 00:00:00"
"232","Story","ACT-3722","Done","2017-07-12 00:00:00"
"237","Story","ACT-3708","Done","2017-07-12 00:00:00"
"238","Story","ACT-3704","Done","2017-07-12 00:00:00"
"241","Story","ACT-3680","Done","2017-06-28 00:00:00"
"242","Story","ACT-3673","Done","2017-07-26 00:00:00"
"251","Story","ACT-3616","Done","2017-07-12 00:00:00"
"254","Story","ACT-3586","Done","2017-07-14 00:00:00"
"255","Task","ACT-3583","Done","2017-07-14 00:00:00"
"256","Task","ACT-3582","Done","2017-07-14 00:00:00"
"257","Task","ACT-3581","Done","2017-07-14 00:00:00"
"258","Task","ACT-3580","Done","2017-07-14 00:00:00"
"259","Story","ACT-3558","Done","2017-06-23 00:00:00"
"260","Story","ACT-3556","Done","2017-06-22 00:00:00"
"273","Story","ACT-3446","Done","2017-07-25 00:00:00"
"274","Bug","ACT-3442","Done","2017-06-21 00:00:00"
"276","Bug","ACT-3439","Done","2017-06-23 00:00:00"
"278","Story","ACT-3392","Done","2017-06-30 00:00:00"
