"","Issue","Ready For Dev","In Dev","Ready For System Test","In System Test","Tipo.de.Pendência","Situação","Data.de.Resolução","Lead.Time"
"40","ACT-1720",0,11.17,0.21,0,"Story","Done",2017-05-29,11.38
"41","ACT-1721",0,7.12,0.2,0,"Story","Done",2017-05-29,7.32
"42","ACT-1722",0,7.12,0.2,0,"Story","Done",2017-05-29,7.32
"44","ACT-1795",0,3.81,1.19,0,"Story","Done",2017-05-30,5
"4","ACT-1482",4.83,1.24,4.76,1.91,"Story","Done",2017-06-07,12.74
"26","ACT-1510",0,11.07,0,10.1,"Story","Done",2017-06-08,21.17
"27","ACT-1511",0,7.05,4.02,10.11,"Story","Done",2017-06-08,21.18
"2","ACT-1480",4.84,0,6.01,2.2,"Story","Done",2017-06-13,13.05
"8","ACT-1487",6.05,0.76,4.03,10.1,"Story","Done",2017-06-15,20.94
"29","ACT-1513",0,7,4.02,16.09,"Story","Done",2017-06-15,27.11
"32","ACT-1516",0,0,4.02,17,"Story","Done",2017-06-15,21.02
"1","ACT-1233",3.77,1.06,6.02,14.13,"Story","Done",2017-06-19,24.98
"31","ACT-1515",5.11,9.16,6.93,3.75,"Story","Done",2017-06-19,24.95
"33","ACT-1517",0,9.16,6.93,3.96,"Story","Done",2017-06-19,20.05
"34","ACT-1518",6.26,2.02,6.93,3.96,"Story","Done",2017-06-19,19.17
"35","ACT-1519",6.26,2.02,6.93,3.97,"Story","Done",2017-06-19,19.18
"37","ACT-1521",3.83,3.29,10.73,0.18,"Story","Done",2017-06-19,18.03
"43","ACT-1727",18.94,5.85,0,0,"Story","Done",2017-06-19,24.79
"36","ACT-1520",1.27,12.75,1.01,0,"Story","Done",2017-06-20,15.03
"16","ACT-1495",16.81,0.95,0.96,0,"Story","Done",2017-06-21,18.72
"20","ACT-1501",0,0,1.21,0,"Story","Done",2017-06-21,1.21
"22","ACT-1503",0,0,1.21,0,"Story","Done",2017-06-21,1.21
"28","ACT-1512",12.25,8.95,4.02,2.98,"Story","Done",2017-06-22,28.2
"17","ACT-1496",16.78,6.95,0,0.07,"Story","Done",2017-06-26,23.8
"21","ACT-1502",0,0,5.93,0,"Story","Done",2017-06-26,5.93
"78","ACT-3010",0,6.8,0,0,"Story","Done",2017-06-26,6.8
"9","ACT-1488",7.85,4.03,0,0.88,"Story","Done",2017-06-27,12.76
"10","ACT-1489",2.43,0.6,3.03,0.88,"Story","Done",2017-06-27,6.94
"50","ACT-2766",0,6.86,0,0,"Story","Done",2017-06-28,6.86
"77","ACT-2973",0,2.28,0.74,1.13,"Story","Done",2017-06-29,4.15
"23","ACT-1506",0,0,13.06,0,"Story","Done",2017-07-03,13.06
"30","ACT-1514",28.19,0.86,4.97,1.26,"Story","Done",2017-07-05,35.28
"85","ACT-3804",0,6.86,0,0,"Story","Done",2017-07-05,6.86
"12","ACT-1491",6.31,6.81,0.82,1.3,"Story","Done",2017-07-06,15.24
"38","ACT-1522",33.15,1.83,1.38,0,"Story","Done",2017-07-06,36.36
"6","ACT-1484",6.97,1.9,0,5.07,"Story","Done",2017-07-10,13.94
"24","ACT-1507",0,0,20.02,0,"Story","Done",2017-07-10,20.02
"25","ACT-1509",0,0,20.02,0,"Story","Done",2017-07-10,20.02
"11","ACT-1490",3.07,2.89,0,1.08,"Story","Done",2017-07-11,7.04
"13","ACT-1492",23.11,4.85,1.05,0.02,"Story","Done",2017-07-13,29.03
"39","ACT-1523",3.96,9.99,0.15,0,"Story","Done",2017-07-13,14.1
"88","ACT-4596",0,0,0,0.02,"Story","Done",2017-07-13,0.02
"5","ACT-1483",29.02,0.23,0,0.74,"Story","Done",2017-07-14,29.99
"7","ACT-1485",7.81,0,0,3.95,"Story","Done",2017-07-18,11.76
"14","ACT-1493",11.04,0,0,0.72,"Story","Done",2017-07-18,11.76
"49","ACT-2596",0,9.93,0,4.68,"Story","Done",2017-07-18,14.61
"3","ACT-1481",0,0.25,2.72,0,"Story","Done",2017-07-20,2.97
"19","ACT-1498",3.95,0,0,0,"Story","Done",2017-07-21,3.95
"15","ACT-1494",0.99,12.92,0,4.83,"Story","Done",2017-07-25,18.74
"87","ACT-3924",26.89,0,0.35,0,"Story","Done",2017-07-26,27.24
"18","ACT-1497",25.13,2.77,1.94,0.77,"Story","Done",2017-07-28,30.61
"90","ACT-4988",0,1.15,1.06,0.77,"Story","Done",2017-07-28,2.98
