"","Data","Lead.Time"
"1",2017-05-01,0
"40",2017-06-01,11.38
"41",2017-06-01,7.32
"42",2017-06-01,7.32
"44",2017-06-01,5
"401",2017-07-01,11.38
"411",2017-07-01,7.32
"421",2017-07-01,7.32
"441",2017-07-01,5
"4",2017-07-01,12.74
"26",2017-07-01,21.17
"27",2017-07-01,21.18
"2",2017-07-01,13.05
"8",2017-07-01,20.94
"29",2017-07-01,27.11
"32",2017-07-01,21.02
"11",2017-07-01,24.98
"31",2017-07-01,24.95
"33",2017-07-01,20.05
"34",2017-07-01,19.17
"35",2017-07-01,19.18
"37",2017-07-01,18.03
"43",2017-07-01,24.79
"36",2017-07-01,15.03
"16",2017-07-01,18.72
"20",2017-07-01,1.21
"22",2017-07-01,1.21
"28",2017-07-01,28.2
"17",2017-07-01,23.8
"21",2017-07-01,5.93
"78",2017-07-01,6.8
"9",2017-07-01,12.76
"10",2017-07-01,6.94
"50",2017-07-01,6.86
"77",2017-07-01,4.15
"45",2017-08-01,12.74
"261",2017-08-01,21.17
"271",2017-08-01,21.18
"210",2017-08-01,13.05
"81",2017-08-01,20.94
"291",2017-08-01,27.11
"321",2017-08-01,21.02
"110",2017-08-01,24.98
"311",2017-08-01,24.95
"331",2017-08-01,20.05
"341",2017-08-01,19.17
"351",2017-08-01,19.18
"371",2017-08-01,18.03
"431",2017-08-01,24.79
"361",2017-08-01,15.03
"161",2017-08-01,18.72
"201",2017-08-01,1.21
"221",2017-08-01,1.21
"281",2017-08-01,28.2
"171",2017-08-01,23.8
"211",2017-08-01,5.93
"781",2017-08-01,6.8
"91",2017-08-01,12.76
"101",2017-08-01,6.94
"501",2017-08-01,6.86
"771",2017-08-01,4.15
"23",2017-08-01,13.06
"30",2017-08-01,35.28
"85",2017-08-01,6.86
"12",2017-08-01,15.24
"38",2017-08-01,36.36
"6",2017-08-01,13.94
"24",2017-08-01,20.02
"25",2017-08-01,20.02
"111",2017-08-01,7.04
"13",2017-08-01,29.03
"39",2017-08-01,14.1
"88",2017-08-01,0.02
"5",2017-08-01,29.99
"7",2017-08-01,11.76
"14",2017-08-01,11.76
"49",2017-08-01,14.61
"3",2017-08-01,2.97
"19",2017-08-01,3.95
"15",2017-08-01,18.74
"87",2017-08-01,27.24
"18",2017-08-01,30.61
"90",2017-08-01,2.98
