"","Data","Lead.Time"
"25",2017-06-01,1.73
"1",2017-06-01,0.95
"2",2017-06-01,5.8
"10",2017-06-01,6.87
"71",2017-06-01,14.15
"72",2017-06-01,21.04
"29",2017-07-01,5.8
"101",2017-07-01,6.87
"711",2017-07-01,14.15
"721",2017-07-01,21.04
"13",2017-07-01,5.12
"3",2017-07-01,7.29
"4",2017-07-01,13.29
"8",2017-07-01,4.72
"14",2017-07-01,29.5
"15",2017-07-01,29.37
"16",2017-07-01,24.79
"17",2017-07-01,25.29
"18",2017-07-01,22.48
"19",2017-07-01,21.5
"20",2017-07-01,27.42
"21",2017-07-01,26.44
"22",2017-07-01,23.26
"23",2017-07-01,24.43
"24",2017-07-01,24.16
"26",2017-07-01,15.43
"27",2017-07-01,1.18
"28",2017-07-01,16.99
"36",2017-07-01,9.97
"38",2017-07-01,3.14
"42",2017-07-01,3.97
"37",2017-07-01,7.18
"131",2017-08-01,5.12
"310",2017-08-01,7.29
"41",2017-08-01,13.29
"81",2017-08-01,4.72
"141",2017-08-01,29.5
"151",2017-08-01,29.37
"161",2017-08-01,24.79
"171",2017-08-01,25.29
"181",2017-08-01,22.48
"191",2017-08-01,21.5
"201",2017-08-01,27.42
"211",2017-08-01,26.44
"221",2017-08-01,23.26
"231",2017-08-01,24.43
"241",2017-08-01,24.16
"261",2017-08-01,15.43
"271",2017-08-01,1.18
"281",2017-08-01,16.99
"361",2017-08-01,9.97
"381",2017-08-01,3.14
"421",2017-08-01,3.97
"371",2017-08-01,7.18
"291",2017-08-01,34.28
"5",2017-08-01,10.75
"6",2017-08-01,2.85
"7",2017-08-01,8.43
"9",2017-08-01,9.96
"12",2017-08-01,26.03
"34",2017-08-01,20.06
"35",2017-08-01,24.31
"30",2017-08-01,8.1
"31",2017-08-01,8.35
"32",2017-08-01,9.28
"39",2017-08-01,9.25
"33",2017-08-01,10.27
"44",2017-08-01,22.27
"47",2017-08-01,22.04
