"","Data","Tipo.de.Pendência"
"237",Apr 2017,"Story"
"225",Apr 2017,"Task"
"238",Apr 2017,"Story"
"233",Apr 2017,"Story"
"231",Apr 2017,"Story"
"224",May 2017,"Story"
"229",May 2017,"Story"
"230",May 2017,"Story"
"226",May 2017,"Story"
"232",May 2017,"Story"
"234",May 2017,"Story"
"236",May 2017,"Story"
"184",May 2017,"Story"
"235",May 2017,"Story"
"185",May 2017,"Bug"
"193",May 2017,"Story"
"228",May 2017,"Story"
"206",May 2017,"Story"
"213",Jun 2017,"Story"
"187",Jun 2017,"Bug"
"188",Jun 2017,"Story"
"211",Jun 2017,"Story"
"227",Jun 2017,"Story"
"223",Jun 2017,"Task"
"176",Jun 2017,"Bug"
"174",Jun 2017,"Bug"
"175",Jun 2017,"Bug"
"177",Jun 2017,"Bug"
"178",Jun 2017,"Bug"
"192",Jun 2017,"Story"
"205",Jun 2017,"Story"
"207",Jun 2017,"Story"
"173",Jun 2017,"Bug"
"171",Jun 2017,"Bug"
"179",Jun 2017,"Bug"
"198",Jun 2017,"Story"
"170",Jun 2017,"Bug"
"202",Jun 2017,"Story"
"203",Jun 2017,"Story"
"168",Jun 2017,"Bug"
"169",Jun 2017,"Bug"
"191",Jun 2017,"Story"
"199",Jun 2017,"Story"
"204",Jun 2017,"Story"
"209",Jun 2017,"Story"
"163",Jun 2017,"Bug"
"194",Jun 2017,"Story"
"201",Jun 2017,"Story"
"208",Jun 2017,"Story"
"239",Jun 2017,"Story"
"180",Jun 2017,"Story"
"200",Jun 2017,"Story"
"195",Jun 2017,"Story"
"166",Jun 2017,"Story"
"167",Jun 2017,"Story"
"137",Jun 2017,"Bug"
"138",Jun 2017,"Bug"
"139",Jun 2017,"Bug"
"156",Jun 2017,"Story"
"190",Jun 2017,"Story"
"140",Jun 2017,"Bug"
"141",Jun 2017,"Bug"
"197",Jun 2017,"Story"
"135",Jun 2017,"Bug"
"136",Jun 2017,"Bug"
"165",Jun 2017,"Story"
"172",Jun 2017,"Story"
"196",Jun 2017,"Story"
"129",Jul 2017,"Bug"
"210",Jul 2017,"Story"
"214",Jul 2017,"Story"
"216",Jul 2017,"Story"
"130",Jul 2017,"Bug"
"131",Jul 2017,"Bug"
"215",Jul 2017,"Story"
"222",Jul 2017,"Story"
"105",Jul 2017,"Bug"
"160",Jul 2017,"Story"
"103",Jul 2017,"Bug"
"142",Jul 2017,"Bug"
"151",Jul 2017,"Story"
"164",Jul 2017,"Story"
"182",Jul 2017,"Story"
"212",Jul 2017,"Story"
"219",Jul 2017,"Story"
"220",Jul 2017,"Story"
"128",Jul 2017,"Story"
"221",Jul 2017,"Story"
"118",Jul 2017,"Story"
"183",Jul 2017,"Story"
"217",Jul 2017,"Story"
"126",Jul 2017,"Story"
"127",Jul 2017,"Story"
"146",Jul 2017,"Story"
"88",Jul 2017,"Task"
"100",Jul 2017,"Task"
"101",Jul 2017,"Task"
"161",Jul 2017,"Story"
"87",Jul 2017,"Task"
"85",Jul 2017,"Bug"
"123",Jul 2017,"Story"
"159",Jul 2017,"Story"
"162",Jul 2017,"Story"
"132",Jul 2017,"Task"
"82",Jul 2017,"Bug"
"86",Jul 2017,"Story"
"157",Jul 2017,"Story"
"96",Jul 2017,"Task"
"98",Jul 2017,"Task"
"99",Jul 2017,"Task"
"116",Jul 2017,"Task"
"155",Jul 2017,"Story"
"97",Jul 2017,"Task"
"81",Jul 2017,"Bug"
"153",Jul 2017,"Story"
"158",Jul 2017,"Story"
"80",Jul 2017,"Bug"
"74",Aug 2017,"Bug"
"77",Aug 2017,"Bug"
"145",Aug 2017,"Story"
"102",Aug 2017,"Task"
"73",Aug 2017,"Bug"
"143",Aug 2017,"Story"
"79",Aug 2017,"Task"
"70",Aug 2017,"Bug"
"75",Aug 2017,"Bug"
"76",Aug 2017,"Bug"
"147",Aug 2017,"Story"
"148",Aug 2017,"Story"
"149",Aug 2017,"Story"
"84",Aug 2017,"Bug"
"125",Aug 2017,"Story"
"152",Aug 2017,"Story"
"69",Aug 2017,"Bug"
"115",Aug 2017,"Story"
"117",Aug 2017,"Story"
"119",Aug 2017,"Story"
"71",Aug 2017,"Bug"
"78",Aug 2017,"Bug"
"68",Aug 2017,"Bug"
"154",Aug 2017,"Story"
"63",Aug 2017,"Bug"
"64",Aug 2017,"Bug"
"144",Aug 2017,"Story"
"72",Aug 2017,"Bug"
"150",Aug 2017,"Story"
"59",Aug 2017,"Bug"
"60",Aug 2017,"Bug"
"61",Aug 2017,"Bug"
"107",Aug 2017,"Story"
