"","Issue","In Analysis","Ready For Dev","In Dev","Ready For Test","In Test","Ready For Confirmation","Tipo.de.Pendência","Situação","Data.de.Resolução","Lead.Time"
"92","ACT-5",0,0,7.03,0,0,0,"Story","Done",2017-04-19,7.03
"72","ACT-4",0,0,0,0,13.98,0,"Story","Done",2017-04-24,13.98
"104","ACT-75",6.23,1.87,0,4.03,1.77,0,"Story","Done",2017-04-26,13.9
"106","ACT-89",6.23,7.91,1.2,0.75,0,0,"Story","Done",2017-04-28,16.09
"41","ACT-290",3.01,0,0,0,0,0,"Story","Done",2017-05-01,3.01
"108","ACT-91",6.23,8.87,0.23,3.78,0,0,"Story","Done",2017-05-01,19.11
"107","ACT-90",6.23,20.09,0,0.79,0,0,"Story","Done",2017-05-09,27.11
"111","ACT-99",6.21,20.99,5.95,0.97,0,0,"Story","Done",2017-05-16,34.12
"98","ACT-62",6.22,20.97,8.86,0.28,0,0,"Story","Done",2017-05-18,36.33
"105","ACT-79",6.22,14.98,14.86,0.25,0,0,"Story","Done",2017-05-18,36.31
"95","ACT-6",0,0,0,0,41.9,0,"Story","Done",2017-05-19,41.9
"69","ACT-38",11.11,0.03,7.71,11.37,11.08,0,"Story","Done",2017-05-23,41.3
"109","ACT-92",27.3,0,19.74,0,0.39,0,"Story","Done",2017-05-29,47.43
"10","ACT-1656",0,0,0.88,0.23,0,0,"Story","Done",2017-06-01,1.11
"12","ACT-1659",0,0,1.8,0.11,0,0,"Story","Done",2017-06-02,1.91
"35","ACT-2035",0.08,0,2.71,0.08,0,0,"Story","Done",2017-06-02,2.87
"110","ACT-93",0,0,0,0,9.74,0,"Story","Done",2017-06-02,9.74
"16","ACT-1704",0,0,3.04,0.21,0,0,"Story","Done",2017-06-08,3.25
"18","ACT-1715",0,0,3.86,2.02,0,0,"Story","Done",2017-06-08,5.88
"31","ACT-1959",0,0,7.14,1.01,0.07,0,"Story","Done",2017-06-08,8.22
"25","ACT-1733",0.02,0,2.01,0.84,4.24,0,"Story","Done",2017-06-13,7.11
"20","ACT-1719",0,0,2.01,3.75,1.27,0,"Story","Done",2017-06-14,7.03
"21","ACT-1723",0,0,7.95,1.07,0,0,"Story","Done",2017-06-14,9.02
"14","ACT-1701",0,0,1.13,0.93,1.06,0,"Story","Done",2017-06-16,3.12
"19","ACT-1716",0,0,0.87,1.83,0.21,0,"Story","Done",2017-06-16,2.91
"24","ACT-1732",0,0,0.13,2.01,0,0,"Story","Done",2017-06-16,2.14
"32","ACT-1964",0,0,6.12,0.85,1.02,0,"Story","Done",2017-06-16,7.99
"15","ACT-1703",0,0,0.21,4.76,0,0,"Story","Done",2017-06-19,4.97
"22","ACT-1730",0,0,0.02,2.05,2.7,0,"Story","Done",2017-06-19,4.77
"29","ACT-1754",0,0.7,0.25,3.75,0.3,0.23,"Story","Done",2017-06-19,5.23
"42","ACT-3",0,0,0,0,68.1,0,"Story","Done",2017-06-19,68.1
"40","ACT-2894",0,0,0.74,0.02,0.42,0,"Story","Done",2017-06-20,1.18
"23","ACT-1731",0,0.76,0.18,4.71,1.02,0,"Story","Done",2017-06-21,6.67
"28","ACT-1753",0,0,0.27,4.72,3.06,0,"Story","Done",2017-06-22,8.05
"44","ACT-3320",4.82,0,0,0.15,0.05,0,"Story","Done",2017-06-26,5.02
"45","ACT-3321",0,0,4.02,0.26,0.03,0,"Story","Done",2017-06-26,4.31
"33","ACT-1986",0,0,7.01,1,0.97,0,"Story","Done",2017-06-28,8.98
"26","ACT-1737",0,0.78,13.95,0.09,0.22,0,"Story","Done",2017-06-29,15.04
"27","ACT-1752",0,8.87,4.58,1.03,0.31,1,"Story","Done",2017-06-30,15.79
"43","ACT-3090",0,0,7.11,0.79,0.08,0,"Story","Done",2017-06-30,7.98
"46","ACT-3322",0,0,3.07,0.16,0.83,0,"Story","Done",2017-06-30,4.06
"1","ACT-1331",21.05,0,7.08,0.17,2.68,0,"Story","Done",2017-07-07,30.98
"8","ACT-1653",0,0,0,0,0.77,0,"Story","Done",2017-07-07,0.77
"50","ACT-3357",13.84,0,2.17,4.78,0,0,"Story","Done",2017-07-11,20.79
"3","ACT-1343",7.95,0,3.06,3.06,0.02,0,"Story","Done",2017-07-12,14.09
"4","ACT-1347",0,0,3.87,0.15,2.93,0,"Story","Done",2017-07-12,6.95
"11","ACT-1658",0,0,0.85,0,0.01,0,"Story","Done",2017-07-12,0.86
"38","ACT-2565",3.87,0,1.32,0.57,0.11,0,"Story","Done",2017-07-12,5.87
"47","ACT-3323",0,0,15.04,0.82,0.1,0,"Story","Done",2017-07-12,15.96
"59","ACT-3722",0,3.86,1.37,0.56,0.01,0,"Story","Done",2017-07-12,5.8
"2","ACT-1335",8.1,0,8.72,0.07,2.18,0,"Story","Done",2017-07-14,19.07
"37","ACT-2327",0.76,0,1.12,0.01,3.94,0,"Story","Done",2017-07-18,5.83
"74","ACT-4364",0.98,0,6.75,1,0.07,0,"Story","Done",2017-07-19,8.8
"49","ACT-3356",35,0,0,0,0,0,"Story","Done",2017-07-24,35
"48","ACT-3340",0,0,6.71,0.07,21.17,0,"Story","Done",2017-07-25,27.95
"51","ACT-3446",0,0,0.01,0.02,0.13,0,"Story","Done",2017-07-25,0.16
"77","ACT-4490",1.93,0,0,10.08,0.9,0,"Story","Done",2017-07-25,12.91
"53","ACT-3673",0,0,6.05,0.02,1.07,0,"Story","Done",2017-07-26,7.14
"55","ACT-3710",0,0,0.78,0.02,2.33,0,"Story","Done",2017-07-27,3.13
"52","ACT-3455",0,0,0,0.17,2.9,0,"Story","Done",2017-07-28,3.07
"57","ACT-3712",0,0.75,0.99,0.71,0.42,0,"Story","Done",2017-07-28,2.87
"65","ACT-3748",0,0,12.06,0.96,0.01,0,"Story","Done",2017-08-01,13.03
"68","ACT-3795",0,0,0.89,0.06,0.93,0,"Story","Done",2017-08-02,1.88
"61","ACT-3727",0,0,6.49,4.71,3.98,0,"Story","Done",2017-08-03,15.18
"62","ACT-3728",0,5.96,0.8,0.21,2.02,0,"Story","Done",2017-08-03,8.99
"63","ACT-3733",0,2.78,3.97,0.16,1.93,0,"Story","Done",2017-08-03,8.84
"58","ACT-3713",0,0,0,0.17,1.02,0,"Story","Done",2017-08-04,1.19
"76","ACT-4441",0,0,0,0.18,1.07,0,"Story","Done",2017-08-04,1.25
"56","ACT-3711",0,4.77,1.21,0.01,8.91,0,"Story","Done",2017-08-10,14.9
"66","ACT-3752",0,1.01,0,8.84,2,0,"Story","Done",2017-08-11,11.85
"60","ACT-3726",3.95,1.12,3.94,2.92,0.12,0,"Story","Done",2017-08-14,12.05
