"","Data","Lead.Time"
"92",2017-06-01,7.03
"72",2017-06-01,13.98
"104",2017-06-01,13.9
"106",2017-06-01,16.09
"41",2017-06-01,3.01
"108",2017-06-01,19.11
"107",2017-06-01,27.11
"111",2017-06-01,34.12
"98",2017-06-01,36.33
"105",2017-06-01,36.31
"95",2017-06-01,41.9
"69",2017-06-01,41.3
"109",2017-06-01,47.43
"10",2017-06-01,1.11
"411",2017-07-01,3.01
"1081",2017-07-01,19.11
"1071",2017-07-01,27.11
"1111",2017-07-01,34.12
"981",2017-07-01,36.33
"1051",2017-07-01,36.31
"951",2017-07-01,41.9
"691",2017-07-01,41.3
"1091",2017-07-01,47.43
"101",2017-07-01,1.11
"12",2017-07-01,1.91
"35",2017-07-01,2.87
"110",2017-07-01,9.74
"16",2017-07-01,3.25
"18",2017-07-01,5.88
"31",2017-07-01,8.22
"25",2017-07-01,7.11
"20",2017-07-01,7.03
"21",2017-07-01,9.02
"14",2017-07-01,3.12
"19",2017-07-01,2.91
"24",2017-07-01,2.14
"32",2017-07-01,7.99
"15",2017-07-01,4.97
"22",2017-07-01,4.77
"29",2017-07-01,5.23
"42",2017-07-01,68.1
"40",2017-07-01,1.18
"23",2017-07-01,6.67
"28",2017-07-01,8.05
"44",2017-07-01,5.02
"45",2017-07-01,4.31
"33",2017-07-01,8.98
"26",2017-07-01,15.04
"27",2017-07-01,15.79
"43",2017-07-01,7.98
"46",2017-07-01,4.06
"102",2017-08-01,1.11
"121",2017-08-01,1.91
"351",2017-08-01,2.87
"1101",2017-08-01,9.74
"161",2017-08-01,3.25
"181",2017-08-01,5.88
"311",2017-08-01,8.22
"251",2017-08-01,7.11
"201",2017-08-01,7.03
"211",2017-08-01,9.02
"141",2017-08-01,3.12
"191",2017-08-01,2.91
"241",2017-08-01,2.14
"321",2017-08-01,7.99
"151",2017-08-01,4.97
"221",2017-08-01,4.77
"291",2017-08-01,5.23
"421",2017-08-01,68.1
"401",2017-08-01,1.18
"231",2017-08-01,6.67
"281",2017-08-01,8.05
"441",2017-08-01,5.02
"451",2017-08-01,4.31
"331",2017-08-01,8.98
"261",2017-08-01,15.04
"271",2017-08-01,15.79
"431",2017-08-01,7.98
"461",2017-08-01,4.06
"1",2017-08-01,30.98
"8",2017-08-01,0.77
"50",2017-08-01,20.79
"3",2017-08-01,14.09
"4",2017-08-01,6.95
"11",2017-08-01,0.86
"38",2017-08-01,5.87
"47",2017-08-01,15.96
"59",2017-08-01,5.8
"2",2017-08-01,19.07
"37",2017-08-01,5.83
"74",2017-08-01,8.8
"49",2017-08-01,35
"48",2017-08-01,27.95
"51",2017-08-01,0.16
"77",2017-08-01,12.91
"53",2017-08-01,7.14
"55",2017-08-01,3.13
"52",2017-08-01,3.07
"57",2017-08-01,2.87
"65",2017-08-01,13.03
