"","Issue","Sprint Backlog","Design and Development","Merge and Deploy","System Testing (ST)","Tipo.de.Pendência","Situação","Data.de.Resolução","Lead.Time"
"6","ACT-1741",39.11,8.11,7.96,0,"Story","Done",2017-07-06,55.18
"1","ACT-1214",82.77,0,0,0,"Story","Done",2017-07-18,82.77
"2","ACT-1215",82.77,0,0,0,"Story","Done",2017-07-18,82.77
"3","ACT-130",78.63,19.91,0,0,"Story","Done",2017-07-18,98.54
"4","ACT-1307",57.3,0,19.87,0,"Story","Done",2017-07-18,77.17
"5","ACT-1328",56.84,0,0,19.91,"Story","Done",2017-07-18,76.75
"17","ACT-3844",20.83,0,0,0,"Story","Done",2017-07-18,20.83
"9","ACT-2708",6.18,7.03,0,5.97,"Story","Done",2017-07-24,19.18
"11","ACT-3571",28.85,12.02,4.98,6.97,"Story","Done",2017-08-14,52.82
"12","ACT-3572",28.85,12.02,4.98,6.96,"Story","Done",2017-08-14,52.81
"13","ACT-3573",28.85,12.17,4.84,6.97,"Story","Done",2017-08-14,52.83
"19","ACT-4690",6.9,17.94,0,0,"Story","Done",2017-08-14,24.84
"23","ACT-5067",4.26,2.74,14.03,6.96,"Story","Done",2017-08-14,27.99
"24","ACT-5116",9.87,16.94,0,0,"Story","Done",2017-08-14,26.81
"21","ACT-4698",6.85,0.99,9.98,8.12,"Story","Done",2017-08-15,25.94
"29","ACT-5427",0.25,0,0,0,"Story","Done",2017-08-15,0.25
"7","ACT-1750",38.95,4.87,7.96,0,"Story","Done",2017-08-16,51.78
"8","ACT-2148",28.99,6.09,9.96,0,"Story","Done",2017-08-16,45.04
"27","ACT-5261",5.96,0,0,0,"Story","Done",2017-08-16,5.96
"28","ACT-5262",5.96,0,0,0,"Story","Done",2017-08-16,5.96
"22","ACT-4703",7.11,2.37,8.6,11.13,"Story","Done",2017-08-18,29.21
"25","ACT-5144",0.34,1.87,9.1,11.13,"Story","Done",2017-08-18,22.44
"15","ACT-3600",43.01,2.75,11.19,2.92,"Story","Done",2017-08-21,59.87
"16","ACT-3642",12.06,0,8.97,3.32,"Story","Done",2017-08-21,24.35
"26","ACT-5233",18.96,3.23,7.95,2.92,"Story","Done",2017-08-21,33.06
"30","ACT-5772",1.03,4.88,9.05,2.92,"Story","Done",2017-08-21,17.88
"31","ACT-5828",1.03,0,3.13,2.92,"Story","Done",2017-08-21,7.08
"33","ACT-5974",4.92,0.96,3.17,2.92,"Story","Done",2017-08-21,11.97
"10","ACT-3568",59.95,1.94,1.01,2.34,"Story","Done",2017-08-26,65.24
"14","ACT-3574",56.22,4.82,1.87,2.33,"Story","Done",2017-08-26,65.24
"18","ACT-4597",41.1,1.94,1.01,2.34,"Story","Done",2017-08-26,46.39
"32","ACT-5970",12.05,1.94,1.01,2.33,"Story","Done",2017-08-26,17.33
"20","ACT-4693",13.25,7.85,16.09,4.9,"Story","Done",2017-08-31,42.09
