"","Data","Lead.Time"
"6",2017-09-01,55.18
"1",2017-09-01,82.77
"2",2017-09-01,82.77
"3",2017-09-01,98.54
"4",2017-09-01,77.17
"5",2017-09-01,76.75
"17",2017-09-01,20.83
"9",2017-09-01,19.18
"11",2017-09-01,52.82
"12",2017-09-01,52.81
"13",2017-09-01,52.83
"19",2017-09-01,24.84
"23",2017-09-01,27.99
"24",2017-09-01,26.81
"21",2017-09-01,25.94
"29",2017-09-01,0.25
"7",2017-09-01,51.78
"8",2017-09-01,45.04
"27",2017-09-01,5.96
"28",2017-09-01,5.96
"22",2017-09-01,29.21
"25",2017-09-01,22.44
"15",2017-09-01,59.87
"16",2017-09-01,24.35
"26",2017-09-01,33.06
"30",2017-09-01,17.88
"31",2017-09-01,7.08
"33",2017-09-01,11.97
"10",2017-09-01,65.24
"14",2017-09-01,65.24
"18",2017-09-01,46.39
"32",2017-09-01,17.33
"20",2017-09-01,42.09
"111",2017-10-01,52.82
"121",2017-10-01,52.81
"131",2017-10-01,52.83
"191",2017-10-01,24.84
"231",2017-10-01,27.99
"241",2017-10-01,26.81
"211",2017-10-01,25.94
"291",2017-10-01,0.25
"71",2017-10-01,51.78
"81",2017-10-01,45.04
"271",2017-10-01,5.96
"281",2017-10-01,5.96
"221",2017-10-01,29.21
"251",2017-10-01,22.44
"151",2017-10-01,59.87
"161",2017-10-01,24.35
"261",2017-10-01,33.06
"301",2017-10-01,17.88
"311",2017-10-01,7.08
"331",2017-10-01,11.97
"101",2017-10-01,65.24
"141",2017-10-01,65.24
"181",2017-10-01,46.39
"321",2017-10-01,17.33
"201",2017-10-01,42.09
