"","Data","Tipo.de.Pendência"
"179",Apr 2017,"Story"
"180",Apr 2017,"Story"
"181",Apr 2017,"Story"
"182",Apr 2017,"Story"
"173",Apr 2017,"Story"
"177",Apr 2017,"Story"
"164",May 2017,"Story"
"167",May 2017,"Story"
"161",May 2017,"Bug"
"168",May 2017,"Story"
"174",May 2017,"Story"
"176",May 2017,"Story"
"165",May 2017,"Story"
"170",May 2017,"Story"
"171",May 2017,"Story"
"172",May 2017,"Story"
"178",May 2017,"Story"
"157",May 2017,"Story"
"155",May 2017,"Task"
"149",May 2017,"Story"
"138",May 2017,"Story"
"139",May 2017,"Story"
"140",May 2017,"Story"
"143",May 2017,"Story"
"145",May 2017,"Story"
"148",May 2017,"Story"
"151",May 2017,"Story"
"169",May 2017,"Story"
"158",May 2017,"Story"
"163",May 2017,"Story"
"142",May 2017,"Story"
"160",May 2017,"Story"
"162",May 2017,"Story"
"175",May 2017,"Story"
"154",May 2017,"Story"
"141",May 2017,"Story"
"117",May 2017,"Task"
"114",May 2017,"Story"
"119",May 2017,"Story"
"135",May 2017,"Story"
"150",May 2017,"Story"
"116",Jun 2017,"Story"
"110",Jun 2017,"Story"
"153",Jun 2017,"Story"
"144",Jun 2017,"Story"
"159",Jun 2017,"Story"
"106",Jun 2017,"Story"
"132",Jun 2017,"Story"
"146",Jun 2017,"Story"
"147",Jun 2017,"Story"
"112",Jun 2017,"Story"
"108",Jun 2017,"Story"
"166",Jun 2017,"Story"
"101",Jun 2017,"Story"
"92",Jun 2017,"Task"
"100",Jun 2017,"Story"
"87",Jun 2017,"Task"
"89",Jun 2017,"Task"
"93",Jun 2017,"Task"
"96",Jun 2017,"Story"
"126",Jun 2017,"Story"
"129",Jun 2017,"Story"
"84",Jun 2017,"Story"
"152",Jun 2017,"Story"
"78",Jun 2017,"Task"
"122",Jun 2017,"Story"
"109",Jul 2017,"Story"
"97",Jul 2017,"Story"
"76",Jul 2017,"Task"
"107",Jul 2017,"Story"
"73",Jul 2017,"Story"
"82",Jul 2017,"Task"
"74",Jul 2017,"Bug"
"63",Jul 2017,"Story"
"64",Jul 2017,"Story"
"68",Jul 2017,"Story"
"85",Jul 2017,"Task"
"91",Jul 2017,"Task"
"69",Jul 2017,"Story"
"90",Jul 2017,"Task"
"65",Jul 2017,"Story"
"99",Jul 2017,"Story"
"113",Jul 2017,"Story"
"131",Jul 2017,"Story"
"136",Jul 2017,"Story"
"58",Jul 2017,"Task"
"56",Jul 2017,"Story"
"98",Jul 2017,"Story"
"44",Jul 2017,"Task"
"45",Jul 2017,"Task"
"59",Jul 2017,"Task"
"75",Jul 2017,"Task"
"86",Jul 2017,"Task"
"111",Jul 2017,"Task"
"36",Jul 2017,"Task"
"37",Jul 2017,"Task"
"46",Jul 2017,"Task"
"66",Jul 2017,"Story"
"156",Jul 2017,"Story"
"34",Jul 2017,"Task"
"40",Jul 2017,"Task"
"94",Jul 2017,"Task"
"53",Aug 2017,"Task"
"55",Aug 2017,"Task"
"88",Aug 2017,"Task"
"28",Aug 2017,"Task"
"31",Aug 2017,"Task"
"38",Aug 2017,"Task"
"27",Aug 2017,"Task"
"41",Aug 2017,"Task"
"60",Aug 2017,"Story"
"29",Aug 2017,"Task"
"30",Aug 2017,"Task"
"133",Aug 2017,"Task"
"104",Aug 2017,"Story"
"105",Aug 2017,"Story"
"32",Aug 2017,"Task"
"42",Aug 2017,"Bug"
"102",Aug 2017,"Story"
"103",Aug 2017,"Story"
"130",Aug 2017,"Story"
"21",Aug 2017,"Task"
"22",Aug 2017,"Task"
"25",Aug 2017,"Task"
"33",Aug 2017,"Task"
"35",Aug 2017,"Task"
"51",Aug 2017,"Task"
"83",Aug 2017,"Story"
"125",Aug 2017,"Story"
"95",Aug 2017,"Task"
"134",Aug 2017,"Task"
"15",Aug 2017,"Story"
"123",Aug 2017,"Story"
"49",Aug 2017,"Task"
"43",Aug 2017,"Story"
"67",Aug 2017,"Story"
"12",Aug 2017,"Task"
"13",Aug 2017,"Task"
"23",Aug 2017,"Task"
"77",Aug 2017,"Story"
"137",Aug 2017,"Story"
"19",Aug 2017,"Task"
"47",Aug 2017,"Story"
"26",Aug 2017,"Task"
"57",Aug 2017,"Task"
"121",Aug 2017,"Story"
"70",Aug 2017,"Story"
"71",Aug 2017,"Story"
"72",Aug 2017,"Story"
"128",Aug 2017,"Story"
"10",Aug 2017,"Task"
"115",Aug 2017,"Bug"
"127",Aug 2017,"Story"
"124",Aug 2017,"Story"
"14",Aug 2017,"Task"
"16",Aug 2017,"Task"
"18",Aug 2017,"Task"
"11",Aug 2017,"Task"
"17",Aug 2017,"Task"
"62",Aug 2017,"Story"
"120",Aug 2017,"Story"
"52",Aug 2017,"Task"
"81",Aug 2017,"Task"
"8",Sep 2017,"Bug"
"9",Sep 2017,"Story"
"20",Sep 2017,"Task"
"2",Sep 2017,"Bug"
"79",Sep 2017,"Story"
"80",Sep 2017,"Story"
"5",Sep 2017,"Task"
"39",Sep 2017,"Task"
"54",Sep 2017,"Task"
"61",Sep 2017,"Story"
"118",Sep 2017,"Story"
"1",Sep 2017,"Story"
"3",Sep 2017,"Task"
"24",Sep 2017,"Task"
"48",Sep 2017,"Task"
"6",Sep 2017,"Story"
"7",Sep 2017,"Task"
"50",Sep 2017,"Task"
"4",Sep 2017,"Task"
