"","Data","Lead.Time"
"36",2017-06-01,0.37
"39",2017-06-01,5.12
"3",2017-06-01,1.14
"56",2017-06-01,8.21
"74",2017-06-01,10.08
"5",2017-06-01,6.86
"38",2017-06-01,8.97
"77",2017-06-01,10.04
"28",2017-06-01,4.86
"7",2017-06-01,17.96
"9",2017-06-01,0.84
"72",2017-06-01,14.08
"53",2017-06-01,1.97
"31",2017-07-01,1.14
"561",2017-07-01,8.21
"741",2017-07-01,10.08
"51",2017-07-01,6.86
"381",2017-07-01,8.97
"771",2017-07-01,10.04
"281",2017-07-01,4.86
"71",2017-07-01,17.96
"91",2017-07-01,0.84
"721",2017-07-01,14.08
"531",2017-07-01,1.97
"55",2017-07-01,6.98
"64",2017-07-01,0.01
"80",2017-07-01,4.87
"551",2017-08-01,6.98
"641",2017-08-01,0.01
"801",2017-08-01,4.87
"63",2017-08-01,17.81
"32",2017-08-01,11.85
"58",2017-08-01,4.83
"711",2017-08-01,0.2
"13",2017-08-01,83.98
"93",2017-08-01,13.65
